Title Code,Title Description,Total Positions using this Title,Unique Positions using this Title,Agencies using this Title,In Civil List Active,In Civil List,Full Description,Effective Date,Databook Link
06517,SENIOR STUDENT LEGAL SPECIALIS,1,1,1,No,Yes,No,,https://databook.nyc/t/06517
06591,MEDICOLEGAL ANALYST (LAW DEPT),1,1,1,No,Yes,No,,https://databook.nyc/t/06591
06593,FOOD SERVICE ADMINISTRATOR (DC,4,1,1,No,Yes,No,,https://databook.nyc/t/06593
06601,ANALYST CFB AL 1 ONLY,6,1,1,No,Yes,No,,https://databook.nyc/t/06601
06602,SYSTEMS ADMINISTRATOR-CAM FIN,19,1,1,No,Yes,No,,https://databook.nyc/t/06602
06603,ADMIN ASST-CAMPAIGN FIN BOARD,9,1,1,No,Yes,No,,https://databook.nyc/t/06603
06604,ATTORNEY-CAMPAIGN FIN BOARD,1,1,1,No,Yes,No,,https://databook.nyc/t/06604
0660A,ANALYST CFB AL 2&3 ONLY,118,1,1,No,Yes,No,,https://databook.nyc/t/0660A
06611,NURSE PRACTITIONER(DEPT HEALTH,9,1,1,No,Yes,No,,https://databook.nyc/t/06611
06656,SPECIAL EXAMINER (PHYSICAL TES,0,0,0,No,Yes,No,,https://databook.nyc/t/06656
06664,PLAYGROUND ASSOCIATE,4,1,1,No,Yes,No,,https://databook.nyc/t/06664
06668,SPECIAL EXAMINER (DCAS),0,0,0,No,Yes,No,,https://databook.nyc/t/06668
0667A,HEARING OFFICER (PVB - NOT EMP,0,0,0,No,Yes,No,,https://databook.nyc/t/0667A
06688,INVESTIGATOR (EMPLOYEE DISCIPL,24,2,1,No,Yes,No,,https://databook.nyc/t/06688
0668A,Special Assistant (MA)-MGRL,127,8,3,No,Yes,No,,https://databook.nyc/t/0668A
06697,SECRETARY TO THE DEPUTY COMMIS,1,1,1,No,Yes,No,,https://databook.nyc/t/06697
06710,ASSISTANT BUDGET ANALYST (COMP,12,3,1,No,Yes,No,,https://databook.nyc/t/06710
06711,BUDGET ANALYST (COMPTROLLER),7,2,1,No,Yes,No,,https://databook.nyc/t/06711
06712,ASSISTANT BUDGET ANALYST (IBO),2,1,1,No,Yes,No,,https://databook.nyc/t/06712
06713,BUDGET ANALYST (IBO),27,1,1,No,Yes,No,,https://databook.nyc/t/06713
0671A,BUDGET ANALYST (IBO) ((MANAGER,13,1,1,No,Yes,No,,https://databook.nyc/t/0671A
06730,SECRETARY TO THE FIRST ASSISTA,1,1,1,No,Yes,No,,https://databook.nyc/t/06730
06733,DEPUTY CHIEF RACKETS INVESTIGA,2,1,1,No,Yes,No,,https://databook.nyc/t/06733
06745,SCHOOL BUSINESS MANAGER,0,0,0,No,Yes,No,,https://databook.nyc/t/06745
06753,MARINE ELECTRONICS TECHNICIAN,1,1,1,No,Yes,No,,https://databook.nyc/t/06753
06763,FIRST DEPUTY COMMISSIONER (OEM,0,0,0,No,Yes,No,,https://databook.nyc/t/06763
06765,EMERGENCY PREPAREDNESS MANAGER,0,0,0,No,Yes,No,,https://databook.nyc/t/06765
06766,EMERGENCY PREPAREDNESS SPECIAL,0,0,0,No,Yes,No,,https://databook.nyc/t/06766
06776,FAMILY PUB HEALTH NURSE (HMH),40,1,1,No,Yes,No,,https://databook.nyc/t/06776
06782,EXECUTIVE DIRECTOR OF MATERIAL,1,1,1,No,Yes,No,,https://databook.nyc/t/06782
06784,EXECUTIVE ASST-DOMESTIC VIOLEN,6,1,1,No,Yes,No,,https://databook.nyc/t/06784
06793,CONFIDENTIAL AGENCY INVESTIGAT,2,1,1,No,Yes,No,,https://databook.nyc/t/06793
06794,INVESTMENT TRUSTEE - DEFERRED,0,0,0,No,Yes,No,,https://databook.nyc/t/06794
06795,IT AUTOMATION AND MONITORING E,0,0,0,No,Yes,No,,https://databook.nyc/t/06795
06796,IT INFRASTRUCTURE ENGINEER,2,2,2,No,Yes,No,,https://databook.nyc/t/06796
06797,IT PROJECT SPECIALIST,16,7,6,No,Yes,No,,https://databook.nyc/t/06797
06798,IT SECURITY SPECIALIST,1,1,1,No,Yes,No,,https://databook.nyc/t/06798
06800,SENIOR IT ARCHITECT,0,0,0,No,Yes,No,,https://databook.nyc/t/06800
06804,EXECUTIVE PROGRAM SPECIALIST (,12,4,1,No,Yes,No,,https://databook.nyc/t/06804
06808,DEPUTY DIRECTOR OF MEDICOLEGAL,7,1,1,No,Yes,No,,https://databook.nyc/t/06808
06809,CHIEF OF STAFF - MAYOR'S OFFIC,0,0,0,No,Yes,No,,https://databook.nyc/t/06809
06810,DIRECTOR OF IMMIGRANT AFFAIRS,0,0,0,No,Yes,No,,https://databook.nyc/t/06810
06811,DIRECTOR OF OFFICE FOR PEOPLE,0,0,0,No,Yes,No,,https://databook.nyc/t/06811
06816,DIRECTOR OF CRIMINAL JUSTICE (,1,1,1,No,Yes,No,,https://databook.nyc/t/06816
06819,SENIOR ADVISOR TO THE MAYOR (M,1,1,1,No,Yes,No,,https://databook.nyc/t/06819
06820,DECEDENT PROPERTY AGENT (PANYC,0,0,0,No,Yes,No,,https://databook.nyc/t/06820
06821,ASSISTANT COMMISSIONER (CULTUR,2,1,1,No,Yes,No,,https://databook.nyc/t/06821
06822,ASSISTANT COMMISSIONER (DOITT),0,0,0,No,Yes,No,,https://databook.nyc/t/06822
06824,Executive Program Specialist (,9,2,1,No,Yes,No,,https://databook.nyc/t/06824
06825,Deputy Commissioner (CEC),1,1,1,No,Yes,No,,https://databook.nyc/t/06825
06826,STRATEGIC INITIATIVE SPECIALIS,1,1,1,No,Yes,No,,https://databook.nyc/t/06826
06827,Associate Commissioner (DOITT),1,1,1,No,Yes,No,,https://databook.nyc/t/06827
06828,STRATEGIC INITIATIVE SPECIALIS,2,2,1,No,Yes,No,,https://databook.nyc/t/06828
06830,CONFIDENTIAL STRATEGY PLANNER,0,0,0,No,Yes,No,,https://databook.nyc/t/06830
06831,EXECUTIVE PROGRAM SPECIALIST (,1,1,1,No,Yes,No,,https://databook.nyc/t/06831
06832,CONFIDENTIAL STRATEGY PLANNER,1,1,1,No,Yes,No,,https://databook.nyc/t/06832
06834,CONFIDENTIAL AGENCY INVESTIGAT,1,1,1,No,Yes,No,,https://databook.nyc/t/06834
06836,DIRECTOR OF CORRECTIONAL STAND,0,0,0,No,Yes,No,,https://databook.nyc/t/06836
06838,ADMINISTRATIVE DIRECTOR (KCDA),0,0,0,No,No,No,,https://databook.nyc/t/06838
06839,CORRECTIONAL STANDARDS REVIEW,1,1,1,No,No,No,,https://databook.nyc/t/06839
06840,DEPUTY DIRECTOR OF COMMUNICATI,0,0,0,No,No,No,,https://databook.nyc/t/06840
06841,First Deputy Commissioner,0,0,0,No,No,No,,https://databook.nyc/t/06841
06842,DIRECTOR OF PUBLIC RELATIONS (,0,0,0,No,Yes,No,,https://databook.nyc/t/06842
06843,YOUTH APPRENTICE,0,0,0,No,No,No,,https://databook.nyc/t/06843
06845,First Deputy Commissioner,0,0,0,No,Yes,No,,https://databook.nyc/t/06845
06846,"Deputy Commissioner, Film Offi",1,1,1,No,Yes,No,,https://databook.nyc/t/06846
06847,Chief Operating Officer (COO),0,0,0,No,Yes,No,,https://databook.nyc/t/06847
06848,"Chief Advisor, Public Space Po",1,1,1,No,Yes,No,,https://databook.nyc/t/06848
06849,DEPUTY COMMISSIONER (TLC),1,1,1,No,Yes,No,,https://databook.nyc/t/06849
06850,RESEARCH AND LIAISON COORDINAT,10,2,1,No,Yes,No,,https://databook.nyc/t/06850
06851,CHIEF OF STAFF (TLC),1,1,1,No,Yes,No,,https://databook.nyc/t/06851
06852,EXECUTIVE PROGRAM SPECIALIST(M,0,0,0,No,No,No,,https://databook.nyc/t/06852
06853,PUBLIC HEALTH EMERGENCY PREPAR,7,3,1,No,Yes,No,,https://databook.nyc/t/06853
06854,EXECUTIVE PROGRAM SPECIALIST,5,4,1,No,Yes,No,,https://databook.nyc/t/06854
06855,ADMINISTRATIVE CHIEF,1,1,1,No,Yes,No,,https://databook.nyc/t/06855
06856,CHIEF STRATEGY OFFICER,1,1,1,No,No,No,,https://databook.nyc/t/06856
06857,DEPUTY CHIEF STRATEGY OFFICER,1,1,1,No,Yes,No,,https://databook.nyc/t/06857
06858,POLICY ADVISOR TO THE CHANCELL,3,1,1,No,Yes,No,,https://databook.nyc/t/06858
06859,DEPUTY CHIEF OF STAFF TO THE,2,2,1,No,Yes,No,,https://databook.nyc/t/06859
06860,CHIEF DIVERSITY OFFICER,1,1,1,No,Yes,No,,https://databook.nyc/t/06860
06861,CHIEF OF STAFF TO THE DEPUTY C,1,1,1,No,Yes,No,,https://databook.nyc/t/06861
06862,CHIEF OF STUDENT PATHWAYS,0,0,0,No,Yes,No,,https://databook.nyc/t/06862
06863,CHIEF STRATEGY OFFICER/DIVISIO,1,1,1,No,Yes,No,,https://databook.nyc/t/06863
06864,SENIOR EXECUTIVE DIRECTOR OF,1,1,1,No,Yes,No,,https://databook.nyc/t/06864
06865,PRESS SECRETARY,1,1,1,No,Yes,No,,https://databook.nyc/t/06865
06866,DIRECTOR OF PLANNING (DYCD),2,1,1,No,Yes,No,,https://databook.nyc/t/06866
06867,"ASSOCIATE DIRECTOR, OFFICE",1,1,1,No,No,No,,https://databook.nyc/t/06867
06870,EMPLOYEE ASSISTANCE PROGRAM SP,1,1,1,No,Yes,No,,https://databook.nyc/t/06870
06873,EXECUTIVE DIRECTOR OF NEIGHBOR,1,1,1,No,No,No,,https://databook.nyc/t/06873
06874,"DEPUTY COMMISSIONER, STRATEGIC",0,0,0,No,Yes,No,,https://databook.nyc/t/06874
06875,EXECUTIVE PROGRAM SPECIALIST,8,1,1,No,Yes,No,,https://databook.nyc/t/06875
06876,Human Resources Administration,0,0,0,No,No,No,,https://databook.nyc/t/06876
06877,Assistant Commissioner of Info,1,1,1,No,No,No,,https://databook.nyc/t/06877
06878,Commissioner (MOME),1,1,1,No,Yes,No,,https://databook.nyc/t/06878
06879,"BOROUGH MANAGER, OFFICE OF NEI",5,2,1,No,No,No,,https://databook.nyc/t/06879
06880,ASSISTANT DIRECTOR OF NEIGHBOR,2,1,1,No,No,No,,https://databook.nyc/t/06880
06881,BOROUGH COMMISSIONER (DEP),4,1,1,No,No,No,,https://databook.nyc/t/06881
06882,SENIOR PRESS OFFICER (DOC),1,1,1,No,No,No,,https://databook.nyc/t/06882
06883,EXECUTIVE PROGRAM SPECIALIST (,1,1,1,No,No,No,,https://databook.nyc/t/06883
06884,STRATEGIC INITIATIVE SPECIALIS,1,1,1,No,No,No,,https://databook.nyc/t/06884
06885,EXECUTIVE PROGRAM SPECIALIST,2,1,1,No,Yes,No,,https://databook.nyc/t/06885
06886,STRATEGIC INITIATIVE SPECIALIS,1,1,1,No,Yes,No,,https://databook.nyc/t/06886
06887,SIGN LANGUAGE INTERPRETER (MOP,2,1,1,No,Yes,No,,https://databook.nyc/t/06887
06888,EXECUTIVE PROGRAM SPECIALIST (,0,0,0,No,Yes,No,,https://databook.nyc/t/06888
06889,Executive Program Specialist,1,1,1,No,No,No,,https://databook.nyc/t/06889
06890,Executive Program Specialist,0,0,0,No,No,No,,https://databook.nyc/t/06890
06891,ADMINISTRATIVE LAW JUDGE,2,1,1,No,Yes,No,,https://databook.nyc/t/06891
06892,EXECUTIVE DIRECTOR (OFFICE OF,1,1,1,No,Yes,No,,https://databook.nyc/t/06892
06893,"EXECUTIVE DIRECTOR, MAYORâ€™S OF",0,0,0,No,No,No,,https://databook.nyc/t/06893
06894,EXECUTIVE PROGRAM MANAGER (CFB,0,0,0,No,No,No,,https://databook.nyc/t/06894
06912,COMMISSION MEMBER (CONDITIONAL,0,0,0,No,No,No,,https://databook.nyc/t/06912
06921,ADMINISTRATIVE CHIEF (KCDA),1,1,1,No,Yes,No,,https://databook.nyc/t/06921
06928,CONFIDENTIAL STRATEGY PLANNER,0,0,0,No,No,No,,https://databook.nyc/t/06928
06930,PROBATION ADJUNCT TRAINER (PER,0,0,0,No,Yes,No,,https://databook.nyc/t/06930
06939,ASSOCIATE EXECUTIVE PROGRAM MA,1,1,1,No,No,No,,https://databook.nyc/t/06939
06940,EXECUTIVE PROGRAM SPECIALIST,1,1,1,No,Yes,No,,https://databook.nyc/t/06940
06941,EXECUTIVE PROGRAM SPECIALIST,1,1,1,No,No,No,,https://databook.nyc/t/06941
06942,Executive Program Specialist,2,2,1,No,No,No,,https://databook.nyc/t/06942
06943,ASSISTANT COMISSIONER (DOHMH),0,0,0,No,No,No,,https://databook.nyc/t/06943
06944,STRATEGIC INITIATIVE SPECIALIS,0,0,0,No,No,No,,https://databook.nyc/t/06944
06945,DEPUTY COMMISSIONER (OCME),0,0,0,No,No,No,,https://databook.nyc/t/06945
06946,STRATEGIC INITIATIVE SPECIALIS,0,0,0,No,No,No,,https://databook.nyc/t/06946
06947,AGENCY WRITER (DDC),0,0,0,No,No,No,,https://databook.nyc/t/06947
06948,CHIEF INFORMATION OFFICER (DDC,0,0,0,No,No,No,,https://databook.nyc/t/06948
06949,EXECUTIVE ASSISTANT TO DANY,0,0,0,No,No,No,,https://databook.nyc/t/06949
06950,STRATEGIC INITIATIVE SPECIALIS,0,0,0,No,No,No,,https://databook.nyc/t/06950
06951,EXECUTIVE DIRECTOR (DDC),0,0,0,No,No,No,,https://databook.nyc/t/06951
06953,ASSISTANT COMMISSIONER (DDC),0,0,0,No,No,No,,https://databook.nyc/t/06953
06954,STRATEGIC INITIATIVE SPECIALIS,0,0,0,No,No,No,,https://databook.nyc/t/06954
06955,STRATEGIC INITIATIVE SPECIALIS,0,0,0,No,No,No,,https://databook.nyc/t/06955
06977,EXECUTIVE PROGRAM SPECIALIST,4,1,1,No,Yes,No,,https://databook.nyc/t/06977
06978,DECEDENT PROPERTY AGENT (PUBLI,0,0,0,No,No,No,,https://databook.nyc/t/06978
06979,DEPUTY DIRECTOR (OFFICE OF NIG,1,1,1,No,Yes,No,,https://databook.nyc/t/06979
06980,"DEPUTY CHIEF, DEI",0,0,0,No,No,No,,https://databook.nyc/t/06980
06981,"BUREAU CHIEF, CMMTY ENGAGEMENT",1,1,1,No,No,No,,https://databook.nyc/t/06981
06983,SPECIAL ASSISTANT- CANNABIS NY,1,1,1,No,Yes,No,,https://databook.nyc/t/06983
06984,Senior Adviser to Deputy Comm,0,0,0,No,No,No,,https://databook.nyc/t/06984
06985,SPECIAL ASSISTANT TO THE DISTR,2,1,1,No,No,No,,https://databook.nyc/t/06985
06986,ASSOCIATE COMMISSIONER (DDC),0,0,0,No,No,No,,https://databook.nyc/t/06986
06987,DEPUTY COMMISSIONER (DDC),0,0,0,No,No,No,,https://databook.nyc/t/06987
06988,PRINCIPAL RACKETS INVESTIGATOR,0,0,0,No,No,No,,https://databook.nyc/t/06988
06989,EXECUTIVE AST TO THE CHIEF EXE,0,0,0,No,No,No,,https://databook.nyc/t/06989
06990,EXECUTIVE PROGRAM SPECIALIST,0,0,0,No,No,No,,https://databook.nyc/t/06990
06991,SPECIAL ASSISTANT TO THE DEPUT,0,0,0,No,No,No,,https://databook.nyc/t/06991
06993,STRATEGIC INITATIVE SPECIALIST,0,0,0,No,No,No,,https://databook.nyc/t/06993
06995,DEPUTY CONTROLLER (HOUSING AUT,0,0,0,No,No,No,,https://databook.nyc/t/06995
06996,CONFIDENTIAL STRATEGY PLANNER,0,0,0,No,No,No,,https://databook.nyc/t/06996
06997,SENIOR DEPUTY COMMISSIONER DOC,1,1,1,No,Yes,No,,https://databook.nyc/t/06997
06998,DEPUTY COMMISSIONER (DOC),2,1,1,No,Yes,No,,https://databook.nyc/t/06998
06999,EXECUTIVE PROGRAM SPECIALIST,1,1,1,No,No,No,,https://databook.nyc/t/06999
07000,CHAUFFEUR (OMB),1,1,1,No,No,No,,https://databook.nyc/t/07000
07222,DIRECTOR OF CRIM JUSTICE DATA,1,1,1,No,Yes,No,,https://databook.nyc/t/07222
07227,DIRECTOR OF CRIME STRATEGIES A,1,1,1,No,Yes,No,,https://databook.nyc/t/07227
09288,SPECIAL ASSISTANT TO THE BOROU,0,0,0,No,Yes,No,,https://databook.nyc/t/09288
09708,SERVICE INSPECTOR (PROJECT SCO,4,1,1,No,Yes,No,,https://databook.nyc/t/09708
09709,SENIOR SERVICE INSPECTOR (PROJ,1,1,1,No,Yes,No,,https://databook.nyc/t/09709
09749,COMMUNITY SERVICE AIDE (SCSP),0,0,0,No,Yes,No,,https://databook.nyc/t/09749
09759,"DIRECTOR, PENSION SYSTEMS (TRS",0,0,0,No,No,No,,https://databook.nyc/t/09759
09760,"MANAGER, PENSION SYSTEMS (TRS)",0,0,0,No,No,No,,https://databook.nyc/t/09760
09776,DIRECTOR OF CLINICAL LABORATOR,1,1,1,No,Yes,No,,https://databook.nyc/t/09776
09963,EXECUTIVE ASSISTANT TO THE COM,2,1,1,No,Yes,No,,https://databook.nyc/t/09963
09989,EXECUTIVE COOK (MAYOR),1,1,1,No,Yes,No,,https://databook.nyc/t/09989
10001,ADMINISTRATIVE ACCOUNTANT,37,13,10,Yes,Yes,Yes,4/6/2011,https://databook.nyc/t/10001
10003,ADMINISTRATIVE GRAPHIC ARTIST,12,9,8,Yes,Yes,No,,https://databook.nyc/t/10003
10004,ADMINISTRATIVE ARCHITECT,55,18,14,No,Yes,Yes,8/1/1973,https://databook.nyc/t/10004
10005,ADMINISTRATIVE ASSESSOR,5,2,2,No,Yes,No,,https://databook.nyc/t/10005
10006,*ADMINISTRATIVE ATTORNEY,0,0,0,No,Yes,No,,https://databook.nyc/t/10006
10007,ADMINISTRATIVE BOROUGH SUPERIN,3,1,1,No,Yes,Yes,4/12/1978,https://databook.nyc/t/10007
10009,ADMINISTRATIVE BUSINESS PROMOT,40,15,9,No,Yes,No,,https://databook.nyc/t/10009
1000A,ADMIN ARCHITECT (NON MGRL) M-1,43,13,9,No,Yes,No,,https://databook.nyc/t/1000A
