nycha_vendor_name,passport_supplier_id,note
AMA JANITORIAL SUPPLY INC.,1744142,reviewed 2026-07-25: confirmed same vendor
"ROSEWOOD FIRE EQUIPMENT CO., INC.",1647650,reviewed 2026-07-25: confirmed same vendor
ATLAS ENVIRONMENTAL GROUP,1655268,reviewed 2026-07-25: confirmed same vendor
INNOVATIVE CONSTRUCTION & MGMT. CO. INC,1648673,reviewed 2026-07-25: confirmed same vendor
"FLEET PUMP AND SERVICE GROUP, INC",1629418,reviewed 2026-07-25: confirmed same vendor
DESIGN BUILD INSTITUTE OF AMERICA (DBIA),1683277,reviewed 2026-07-25: confirmed same vendor
U.S.A. EXTERMINATORS & PEST CONTROL INC.,1916099,reviewed 2026-07-25: confirmed same vendor
SALSA CATERERS & SPECIAL EVENTS,1671954,reviewed 2026-07-25: confirmed same vendor
WEINTRAUB DIAZ LANDSCAPE ARCHITECT,1656947,reviewed 2026-07-25: confirmed same vendor
"CUSHMAN & WAKEFIELD, INC",1624715,reviewed 2026-07-25: confirmed same vendor
NEW YORK SPORTS UNITED BENEVOLENT ALLIANCE INC,1673782,reviewed 2026-07-25: confirmed same vendor
BLUE LABEL CONSTRUCTION CORP,1903337,reviewed 2026-07-25: confirmed same vendor
ADL TRANSCRIPTION SVC INC,1842521,reviewed 2026-07-25: confirmed same vendor
NEW ANGEL CONSTRUCTION CORP,1656101,reviewed 2026-07-25: confirmed same vendor
GRANT INTL CO INC DBA/GRANT ELECTRICAL SUPPLY,1665063,reviewed 2026-07-25: confirmed same vendor
"FOUNDATION FOR THE ADVANCEMENT AND REHABILITATION OF THE MARGINALIZED, FARM",1844311,reviewed 2026-07-25: confirmed same vendor
ISLAND PUMP & TANK CORP,1652189,reviewed 2026-07-25: confirmed same vendor
"SCHOEMAN, UPDIKE & KAUFMAN, LLP",1667887,reviewed 2026-07-25: confirmed same vendor
PUNJAB BUILDERS CRP,1946195,reviewed 2026-07-25: confirmed same vendor
KARP ASSOCIATES INC,1888183,reviewed 2026-07-25: confirmed same vendor
NEW YORK REPLACEMENT PARTS CORP.-CV2430,1646797,reviewed 2026-07-25: confirmed same vendor
POWER-FLO TECHNOLOGIES INC. D/B/A,1635006,reviewed 2026-07-25: confirmed same vendor
"CITY VIEW BLINDS OF NEW YORK, INC.",1623528,reviewed 2026-07-25: confirmed same vendor
"CAMPBELL'S PROFESSIONAL SERVICES, LLC",1912307,reviewed 2026-07-25: confirmed same vendor
SOUTHEAST BRONX NEIGHBORHOOD,1638486,reviewed 2026-07-25: confirmed same vendor
DUN & BRADSTREET INC,1625795,reviewed 2026-07-25: confirmed same vendor
"EPIC MANAGEMENT OF NY, LLC",1654585,reviewed 2026-07-25: confirmed same vendor
ALAN MARGOLIN & ASSOCIATES CONSULTING ENGINEERS,1847815,reviewed 2026-07-25: confirmed same vendor
SENTINEL DIVERSIFIED INDUSTRIES INC,1646413,reviewed 2026-07-25: confirmed same vendor
"HERZFELD & RUBIN, P.C.",1646951,reviewed 2026-07-25: confirmed same vendor
OVE ARUP & PARTENERS P.C.,1635231,reviewed 2026-07-25: confirmed same vendor
DHILLON CONSTRUCTION OF NY CORP,2077906,reviewed 2026-07-25: confirmed same vendor
HENRY QUENTZEL PLUMBING,1629599,reviewed 2026-07-25: confirmed same vendor
GEORGE S HALL INC,1635504,reviewed 2026-07-25: confirmed same vendor
JACKSON LEWIS LLP,1653520,reviewed 2026-07-25: confirmed same vendor
DAVID GRIBBEN,2038051,reviewed 2026-07-25: confirmed same vendor
N.Y.S. INDUSTRIES FOR THE DISABLED,1633772,reviewed 2026-07-25: confirmed same vendor
TRANSEL ELEVATOR & ELECTRIC INC DBA/TEI GROUP,1639218,reviewed 2026-07-25: confirmed same vendor
CENTRAL BROOKLYN ECONOMIC DEVELOPMENT CORPORATION,1624038,reviewed 2026-07-25: confirmed same vendor
B2 CONSTRUCTION CORP,-,reviewed 2026-07-25: NOT USA 2 CONSTRUCTION INC (#1654536)
DF CONTRACTING INC,-,reviewed 2026-07-25: NOT MDF CONTRACTING CORP (#1653466)
PK CONSTRUCTION SERVICES INC,-,reviewed 2026-07-25: NOT KD Construction Services Inc (#2055257)
SAM'S TECHNICAL SERVICES INC.,-,reviewed 2026-07-25: NOT SLAM Technical Services LLC (#2030654)
"CASA BUILDING MATERIALS, INC.",-,reviewed 2026-07-25: NOT ASIA BUILDING MATERIALS INC (#1737557)
ASR OFFICE SOLUTIONS CORP,-,reviewed 2026-07-25: NOT SRA OFFICE SOLUTIONS LLC (#1971563)
MJ ENGINEERING AND LAND SURVEYING PC,-,reviewed 2026-07-25: NOT KC ENGINEERING AND LAND SURVEYING PC (#1631290)
BK B CONSTRUCTION CORP,-,reviewed 2026-07-25: NOT JB & B CONSTRUCTION CORP (#1847315)
"R.S.N. CONSTRUCTION CO., INC.",-,reviewed 2026-07-25: NOT R & S CONSTRUCTION CORP (#1804064)
AKRO GENERAL CONTRACTING INC.,-,reviewed 2026-07-25: NOT ARGOS GENERAL CONTRACTING CORP (#2082122)
OM CONSTRUCTION CORP,-,reviewed 2026-07-25: NOT SOMY CONSTRUCTION CORP (#1954720)
J S CONSTRUCTION COMPANY,-,reviewed 2026-07-25: NOT J & N Construction Group Corp (#1653628)
PK CONSTRUCTION GROUP INC.,-,reviewed 2026-07-25: NOT GK GROUP CONSTRUCTION CORP (#1919746)
USA #1 CONSTRUCTION CORP.,-,reviewed 2026-07-25: NOT 718 construction group inc (#2035470)
OM#1 CONSTRUCTION CORPORATION,-,reviewed 2026-07-25: NOT Romo Construction Corporation (#2010998)
TRC ENVIRONMENTAL CORPORATION,-,reviewed 2026-07-25: NOT PAR ENVIRONMENTAL CORPORATION (#1635783)
COLONIAL HARDWARE CORPORATION,-,reviewed 2026-07-25: NOT COLONY HARDWARE CORPORATION (#1656925)
LI RESTORATION INC,-,reviewed 2026-07-25: NOT GL Restoration Corp (#1887400)
MSC INDUSTRIAL SUPPLY,-,"reviewed 2026-07-25: NOT BC Industrial Supply, Inc. (#2038376)"
AIRES ELECTRICAL CONTRACTING CORP.,-,reviewed 2026-07-25: NOT ASR ELECTRICAL CONTRACTING INC (#1621990)
GROUP CONSTRUCTION CORP,-,reviewed 2026-07-25: NOT USA 2 CONSTRUCTION INC (#1654536)
KS HARRY CONSTRUCTION CORP,-,reviewed 2026-07-25: NOT Harry Construction Group Corp. (#1657382)
SB REMODELING CORP.,-,reviewed 2026-07-25: NOT SR REMODELING CORP (#1904780)
KP RENOVATION INC,-,reviewed 2026-07-25: NOT GK RENOVATION INC (#2026400)
BERNARDO'S PLUMBING & HEATING,-,reviewed 2026-07-25: NOT GERARD'S PLUMBING & HEATING CORP (#1629223)
A & B CONSTRUCTION NY CORP,-,reviewed 2026-07-25: NOT A. Construction N.Y. Inc (#1921641)
JP NIXON CONSULTING LLC,-,reviewed 2026-07-25: NOT D Nixon Consulting LLC (#2082719)
A.B.C.D CONSTRUCTION CORP.,-,reviewed 2026-07-25: NOT ABCD CONSTRUCTION CORP (#1620967)
INDUSTRIAL SAFETY LLC,-,reviewed 2026-07-25: NOT CG INDUSTRIAL SAFETY INC (#1647022)
CMS ELECTRICAL SERVICES INC.,-,reviewed 2026-07-25: NOT CPL ELECTRICAL SERVICES CORP (#1892889)
GSK BUILDERS INC,-,reviewed 2026-07-25: NOT G BUILDERS LLC (#1760339)
"AMA CONSULTING ENGINEERS, P.C.",-,reviewed 2026-07-25: NOT OLA CONSULTING ENGINEERS PC (#1633999)
INDER HOME IMPROVEMENT INC.,-,reviewed 2026-07-25: NOT THIND HOME IMPROVEMENT INC (#1952616)
ACE JANITORIAL SUPPLY CO. INC,-,reviewed 2026-07-25: NOT Force Janitorial Supply Inc. (#2035798)
C COMPANY BUILDERS INC,-,reviewed 2026-07-25: NOT CCC BUILDERS GROUP (#1942647)
ALC ENVIRONMENTAL INCORPORATED,-,reviewed 2026-07-25: NOT CR ENVIRONMENTAL INC (#1646020)
"HARPER CONTROL SOLUTIONS, INC",-,reviewed 2026-07-25: NOT HR CONTROL SOLUTIONS LLC (#1907518)
GRANT ELECTRICAL SUPPLY,-,reviewed 2026-07-25: NOT A ELECTRICAL SUPPLY CORP (#2010471)
CAP EQUIPMENT LEASING CORP.,-,reviewed 2026-07-25: NOT C&G EQUIPMENT LEASING LLC (#1621611)
H&L INDUSTRIAL SUPPLY CORP,-,reviewed 2026-07-25: NOT JHP  INDUSTRIAL  SUPPLY COMPANY  INC (#1743883)
MTA DISTRIBUTORS,-,reviewed 2026-07-25: NOT IT DISTRIBUTORS INC (#1646523)
GLOBE ELECTRIC SUPPLY COMPANY,-,"reviewed 2026-07-25: NOT L B ELECTRIC SUPPLY CO., INC. (#1661412)"
GLOBE ELECTRIC SUPPLY CO,-,"reviewed 2026-07-25: NOT L B ELECTRIC SUPPLY CO., INC. (#1661412)"
N & W ELECTRICAL SUPPLY INC,-,reviewed 2026-07-25: NOT A ELECTRICAL SUPPLY CORP (#2010471)
ICAS ELECTRICAL SERVICES INC,-,reviewed 2026-07-25: NOT EVANS ELECTRICAL SERVICES INC (#1935313)
S & H BROTHERS CONSTRUCTION INC,-,reviewed 2026-07-25: NOT AR BROTHERS CONSTRUCTION CORP (#1622121)
"SAI SYSTEMS INTERNATIONAL, INC",-,reviewed 2026-07-25: NOT PP SYSTEMS INTERNATIONAL INC (#1656919)
"SAFETY ENVIRONMENTAL COMPANY OF NY,  INC.",-,reviewed 2026-07-25: NOT SAFETY ENVIRONMENTAL COMPANY OF NEW YORK INC (#1637830)
SG TECHNOLOGY GROUP,-,reviewed 2026-07-25: NOT SINGH TECHNOLOGY GROUP LLC (#1896736)
ASTRO REMODELING INC.,-,reviewed 2026-07-25: NOT SR REMODELING CORP (#1904780)
VIR RESTORATION INC.,-,reviewed 2026-07-25: NOT MR Restoration Corp (#2008751)
HPL CONTRACTORS INC,-,reviewed 2026-07-25: NOT HD CONTRACTORS CORP (#2022646)
INDUSTRIAL ELECTRIC SUPPLY CORP,-,reviewed 2026-07-25: NOT R&V INDUSTRIAL ELECTRICAL SUPPLY LLC (#2003834)
JS BUILDERS NY CORP,-,reviewed 2026-07-25: NOT A.S. Builders NY Inc. (#2031806)
A-1 FIRST CLASS MOVING/STORAGE,-,reviewed 2026-07-25: NOT A-1 FIRST CLASS VIKING MOVING & STORAGE INC. (#1641641)
Z-TECH CONTRACTING LLC,-,reviewed 2026-07-25: NOT NEW TECH CONTRACTING CORP (#1902070)
"G&G ELECTRIC SUPPLY CO., INC.",-,"reviewed 2026-07-25: NOT L B ELECTRIC SUPPLY CO., INC. (#1661412)"
FM OFFICE ENVIRONMENTS,-,reviewed 2026-07-25: NOT IMAGE OFFICE ENVIRONMENTS LLC (#1754864)
NY SECURITY CONSULTANTS,-,reviewed 2026-07-25: NOT SJR Security Consultants LLC (#1834975)
JD BUILDERS & CONTRACTORS CORP,-,reviewed 2026-07-25: NOT A S BUILDERS & CONTRACTORS INC (#2031296)
A-LINE ELECTRICAL SUPPLY INC.,-,reviewed 2026-07-25: NOT ANGLE ELECTRICAL SUPPLY CORP (#2017469)
